slug,demo_url,theme,business_name,city,phone,address,google_place_query,google_rating,reviews_count,categories,website,source_url,facebook,instagram,tiktok
demo-trener-personalny-wroclaw-bartosz-wojcie,https://dfcms.pl/?site=demo-trener-personalny-wroclaw-bartosz-wojcie,fitness,Trener Personalny Wrocław - Bartosz Wojciechowski,Wrocław,+48 607 718 827,"Fitness Academy, plac Dominikański 3","Trener Personalny Wrocław - Bartosz Wojciechowski, Wrocław",5,53,Trener osobisty,https://instagram.com/bwojciechowski_,https://www.google.com/maps/search/?api=1&query=Trener%20Personalny%20Wroc%C5%82aw%20-%20Bartosz%20Wojciechowski&query_place_id=ChIJX-O5o93DD0cROFniN9VDHSI,,https://instagram.com/bwojciechowski_,
demo-justyna-biec-medyczny-trener-personalny,https://dfcms.pl/?site=demo-justyna-biec-medyczny-trener-personalny,fitness,Justyna Bieć Medyczny trener personalny,Wrocław,,Podwale 61/1,"Justyna Bieć Medyczny trener personalny, Wrocław",5,52,Trener osobisty,http://remove.booksy.com/a/,https://www.google.com/maps/search/?api=1&query=Justyna%20Bie%C4%87%20Medyczny%20trener%20personalny&query_place_id=ChIJNa8b51PDD0cRPeDkkHgIQdU,,,
demo-trener-personalny-fit-zone,https://dfcms.pl/?site=demo-trener-personalny-fit-zone,fitness,TRENER PERSONALNY „FIT ZONE”,Wrocław,+48 730 278 027,Międzyleska 4,"TRENER PERSONALNY „FIT ZONE”, Wrocław",5,52,Trener osobisty,https://www.facebook.com/trenerpersonalnyteam,https://www.google.com/maps/search/?api=1&query=TRENER%20PERSONALNY%20%E2%80%9EFIT%20ZONE%E2%80%9D&query_place_id=ChIJ_-Vm3l7DD0cRJNLsEw-TnOE,https://www.facebook.com/trenerpersonalnyteam,,
demo-fryzjer-lusi-akademia-fryzur-studio-urod,https://dfcms.pl/?site=demo-fryzjer-lusi-akademia-fryzur-studio-urod,beauty,"Fryzjer Lusi Akademia Fryzur, Studio Urody Primrose ul.Litewska 2a",Wrocław,+48 690 819 460,Wrocław,"Fryzjer Lusi Akademia Fryzur, Studio Urody Primrose ul.Litewska 2a, Wrocław",5,50,Fryzjer | Service establishment,https://www.facebook.com/lusiakademiafryzur,https://www.google.com/maps/search/?api=1&query=Fryzjer%20Lusi%20Akademia%20Fryzur%2C%20Studio%20Urody%20Primrose%20ul.Litewska%202a&query_place_id=ChIJlV081zXpD0cRkYDijmVaU38,https://www.facebook.com/lusiakademiafryzur,,
demo-salon-kosmetyczny-masazu-nature-look-pau,https://dfcms.pl/?site=demo-salon-kosmetyczny-masazu-nature-look-pau,beauty,"Salon kosmetyczny, masażu Nature Look Paulina Wojtaszyn",Wrocław,+48 692 190 853,Henryka Sienkiewicza 152/3,"Salon kosmetyczny, masażu Nature Look Paulina Wojtaszyn, Wrocław",5,48,Salon kosmetyczny | Masażysta,,https://www.google.com/maps/search/?api=1&query=Salon%20kosmetyczny%2C%20masa%C5%BCu%20Nature%20Look%20Paulina%20Wojtaszyn&query_place_id=ChIJ39B1GG_pD0cRGKqhdojsFro,,,
demo-anna,https://dfcms.pl/?site=demo-anna,beauty,Anna,Wrocław,+48 607 388 285,Zielna 27d,"Anna, Wrocław",5,43,Salon fryzjerski,,https://www.google.com/maps/search/?api=1&query=Anna&query_place_id=ChIJYUaZsoroD0cRyjNAWj_BWyI,,,
demo-macwood-stolarnia,https://dfcms.pl/?site=demo-macwood-stolarnia,services,MacWood Stolarnia,Wrocław,+48 728 975 123,Porębska 12,"MacWood Stolarnia, Wrocław",5,43,Stolarz | Budowa wiat i pergol | Sklep z drewnem | Sklep ze stolarką budowlaną | Sklep,,https://www.google.com/maps/search/?api=1&query=MacWood%20Stolarnia&query_place_id=ChIJFbAyJAKzTYARkUhCrFOmItw,,,
demo-salon-kosmetologii-estetycznej-beauty-po,https://dfcms.pl/?site=demo-salon-kosmetologii-estetycznej-beauty-po,beauty,Salon Kosmetologii Estetycznej Beauty Point,Wrocław,+48 669 426 785,Józefa Lompy 21/2,"Salon Kosmetologii Estetycznej Beauty Point, Wrocław",5,41,Salon piękności | Salon kosmetyczny,,https://www.google.com/maps/search/?api=1&query=Salon%20Kosmetologii%20Estetycznej%20Beauty%20Point&query_place_id=ChIJ1YYmJMHpD0cRFbhnCYRe1yQ,,,
demo-trener-personalny-mateusz-kujawa,https://dfcms.pl/?site=demo-trener-personalny-mateusz-kujawa,fitness,Trener Personalny - Mateusz Kujawa,Wrocław,,Plac Grunwaldzki 22,"Trener Personalny - Mateusz Kujawa, Wrocław",5,41,Trener osobisty | Trening grupowy | Siłownia | Studio pilatesu | Miejsce do treningu z podnoszeniem ciężarów | Trener personalny kobiet,https://www.instagram.com/work_with_mat/,https://www.google.com/maps/search/?api=1&query=Trener%20Personalny%20-%20Mateusz%20Kujawa&query_place_id=ChIJj2iTLTTpD0cRIPJs0U2KSRM,,https://www.instagram.com/work_with_mat/,
demo-corner-hair-markus,https://dfcms.pl/?site=demo-corner-hair-markus,beauty,Corner Hair Markus,Wrocław,+48 537 189 999,Henryka Sienkiewicza 32,"Corner Hair Markus, Wrocław",5,40,Salon fryzjerski | Sklep z artykułami fryzjerskimi | Kosmetyki | Salon piękności | Sklep z kosmetykami | Fryzjer,,https://www.google.com/maps/search/?api=1&query=Corner%20Hair%20Markus&query_place_id=ChIJHYtmb_vpD0cRR9m9Kawii2w,,,
demo-ms-beauty-salon-kosmetyczny,https://dfcms.pl/?site=demo-ms-beauty-salon-kosmetyczny,beauty,MS BEAUTY SALON KOSMETYCZNY,Wrocław,+48 795 922 478,Jedności Narodowej 101,"MS BEAUTY SALON KOSMETYCZNY, Wrocław",5,38,Salon kosmetyczny,https://booksy.com/pl-pl/dl/show-business/186033,https://www.google.com/maps/search/?api=1&query=MS%20BEAUTY%20SALON%20KOSMETYCZNY&query_place_id=ChIJs_vOGwDpD0cR2LK0XFk3cIY,,,
demo-uslugi-glazurnicze-kompleksowe-remonty-l,https://dfcms.pl/?site=demo-uslugi-glazurnicze-kompleksowe-remonty-l,services,"Usługi glazurnicze, kompleksowe remonty łazienek Damos-bud",Wrocław,+48 503 926 237,Życzliwa 16,"Usługi glazurnicze, kompleksowe remonty łazienek Damos-bud, Wrocław",5,38,Glazurnik | Hydraulik,https://www.facebook.com/damos.glazurnik,https://www.google.com/maps/search/?api=1&query=Us%C5%82ugi%20glazurnicze%2C%20kompleksowe%20remonty%20%C5%82azienek%20Damos-bud&query_place_id=ChIJMy0gzHLDD0cRhOFJNCU2iS4,https://www.facebook.com/damos.glazurnik,,
demo-look-at-you,https://dfcms.pl/?site=demo-look-at-you,beauty,Look At You,Wrocław,+48 720 888 488,Słowiańska 6,"Look At You, Wrocław",5,37,Salon piękności | Kosmetyczka | Salon kosmetyczny,,https://www.google.com/maps/search/?api=1&query=Look%20At%20You&query_place_id=ChIJk2dyEW_pD0cRHXJtsHs3A8Q,,,
demo-very-nice-walls,https://dfcms.pl/?site=demo-very-nice-walls,services,Very Nice Walls,Wrocław,,Morawska 29/2,"Very Nice Walls, Wrocław",5,37,Usługi remontowo-budowlane,,https://www.google.com/maps/search/?api=1&query=Very%20Nice%20Walls&query_place_id=ChIJL1wtttjpD0cRkDuvipDGKpQ,,,
demo-lena-studio-fryzjerskie,https://dfcms.pl/?site=demo-lena-studio-fryzjerskie,beauty,Lena Studio Fryzjerskie,Wrocław,+48 514 744 740,Zygmunta Wróblewskiego 29,"Lena Studio Fryzjerskie, Wrocław",5,36,Salon fryzjerski,https://booksy.com/pl-pl/3327_lena-studio-fryzjerskie_fryzjer_13750_wroclaw,https://www.google.com/maps/search/?api=1&query=Lena%20Studio%20Fryzjerskie&query_place_id=ChIJc7RGbaTpD0cRNPaMAMMI4bI,,,
demo-pani-kosmetyczka-weronika-czubak,https://dfcms.pl/?site=demo-pani-kosmetyczka-weronika-czubak,beauty,Pani Kosmetyczka Weronika Czubak,Wrocław,+48 578 662 429,Piękna 27A/13,"Pani Kosmetyczka Weronika Czubak, Wrocław",5,36,Siedziba firmy | Salon kosmetyczny,https://www.instagram.com/pani_kosmetyczka_?igsh=MTJpamM2dDlueGdxZA==,https://www.google.com/maps/search/?api=1&query=Pani%20Kosmetyczka%20Weronika%20Czubak&query_place_id=ChIJ68mf3_7CD0cRLGrQBPkSVOk,,https://www.instagram.com/pani_kosmetyczka_?igsh=MTJpamM2dDlueGdxZA==,
demo-iron-gym-wroclaw,https://dfcms.pl/?site=demo-iron-gym-wroclaw,fitness,Iron Gym Wrocław,Wrocław,+48 888 444 336,Chełmońskiego 30A,"Iron Gym Wrocław, Wrocław",5,32,Trener osobisty | Szkoła kickboxingu,,https://www.google.com/maps/search/?api=1&query=Iron%20Gym%20Wroc%C5%82aw&query_place_id=ChIJaxGTCGLDD0cRRdEa2hQRvOo,,,
demo-mikmat-instal-uslugi-hydrauliczne-diagno,https://dfcms.pl/?site=demo-mikmat-instal-uslugi-hydrauliczne-diagno,services,MikMat Instal Usługi Hydrauliczne - diagnoza wycieków.,Wrocław,+48 791 935 567,Piękna 7/5A,"MikMat Instal Usługi Hydrauliczne - diagnoza wycieków., Wrocław",5,32,Hydraulik | Inżynier środowiska,,https://www.google.com/maps/search/?api=1&query=MikMat%20Instal%20Us%C5%82ugi%20Hydrauliczne%20-%20diagnoza%20wyciek%C3%B3w.&query_place_id=ChIJ8XgYyiLDD0cR3EHKqKLXIBo,,,
demo-dominik-kozlowski-trener-personalny,https://dfcms.pl/?site=demo-dominik-kozlowski-trener-personalny,fitness,Dominik Kozłowski - Trener Personalny,Wrocław,+48 784 327 767,Podwale 61/1,"Dominik Kozłowski - Trener Personalny, Wrocław",5,29,Trener osobisty,,https://www.google.com/maps/search/?api=1&query=Dominik%20Koz%C5%82owski%20-%20Trener%20Personalny&query_place_id=ChIJXRBV3F_DD0cR4hDD3BiIWHk,,,
demo-ritual-studio-beauty-salon-kosmetyczny,https://dfcms.pl/?site=demo-ritual-studio-beauty-salon-kosmetyczny,beauty,Ritual Studio Beauty - Salon Kosmetyczny,Wrocław,+48 537 266 166,Gen. Antoniego Madalińskiego 9/3,"Ritual Studio Beauty - Salon Kosmetyczny, Wrocław",5,29,Salon kosmetyczny | Salon piękności,https://booksy.com/pl-pl/190847_ritualstudio_brwi-i-rzesy_13750_wroclaw,https://www.google.com/maps/search/?api=1&query=Ritual%20Studio%20Beauty%20-%20Salon%20Kosmetyczny&query_place_id=ChIJFcdG6mPDD0cRVf9NaNzal54,,,
demo-sowa-design,https://dfcms.pl/?site=demo-sowa-design,consultant,Sowa Design,Wrocław,+48 697 667 761,Wykładowa,"Sowa Design, Wrocław",5,29,Projektant wnętrz,https://www.instagram.com/projektywnetrz_sowa/,https://www.google.com/maps/search/?api=1&query=Sowa%20Design&query_place_id=ChIJ95tLup3nD0cRAKs280zreqQ,,https://www.instagram.com/projektywnetrz_sowa/,
demo-trener-personalny-wroclaw-pawel-augustyn,https://dfcms.pl/?site=demo-trener-personalny-wroclaw-pawel-augustyn,fitness,Trener personalny Wrocław Paweł Augustynowicz,Wrocław,+48 691 641 720,Mikołaja Sępa-Szarzyńskiego 84/5,"Trener personalny Wrocław Paweł Augustynowicz, Wrocław",5,29,Trener osobisty,,https://www.google.com/maps/search/?api=1&query=Trener%20personalny%20Wroc%C5%82aw%20Pawe%C5%82%20Augustynowicz&query_place_id=ChIJ99r4yZMWuEwReXhFRp2sALQ,,,
demo-dawid-wika-trener-personalny-wroclaw,https://dfcms.pl/?site=demo-dawid-wika-trener-personalny-wroclaw,fitness,Dawid Wika - Trener Personalny Wrocław,Wrocław,+48 697 530 265,Franklina Delano Roosevelta 24,"Dawid Wika - Trener Personalny Wrocław, Wrocław",5,28,Trener osobisty,,https://www.google.com/maps/search/?api=1&query=Dawid%20Wika%20-%20Trener%20Personalny%20Wroc%C5%82aw&query_place_id=ChIJWfckuY7pD0cRr3-MaYunBMo,,,
demo-remontywykonczenia-mieszkan-ukladanie-pl,https://dfcms.pl/?site=demo-remontywykonczenia-mieszkan-ukladanie-pl,services,"Remonty,Wykończenia mieszkań, Układanie płytek wielkoformatowych, Wrocław–EmbudKonrad",Wrocław,+48 570 861 247,Rynek,"Remonty,Wykończenia mieszkań, Układanie płytek wielkoformatowych, Wrocław–EmbudKonrad, Wrocław",5,26,Usługi remontowo-budowlane,http://www.facebook.com/EMBUDkonrad,https://www.google.com/maps/search/?api=1&query=Remonty%2CWyko%C5%84czenia%20mieszka%C5%84%2C%20Uk%C5%82adanie%20p%C5%82ytek%20wielkoformatowych%2C%20Wroc%C5%82aw%E2%80%93EmbudKonrad&query_place_id=ChIJVVtPOiQlDkcRtsE9_Cqu1fE,http://www.facebook.com/EMBUDkonrad,,
demo-venom-barbershop-tattoo,https://dfcms.pl/?site=demo-venom-barbershop-tattoo,beauty,VENOM Barbershop & Tattoo,Wrocław,+48 883 413 424,Bierutowska 13,"VENOM Barbershop & Tattoo, Wrocław",5,26,Salon fryzjerski | Tatuażysta | Studio tatuażu,http://blokbarbershop.booksy.com/a/,https://www.google.com/maps/search/?api=1&query=VENOM%20Barbershop%20%26%20Tattoo&query_place_id=ChIJVzXfjzM8WocRdbHjOKuZWcE,,,
demo-nowikamove-trener-personalny-dietetyk,https://dfcms.pl/?site=demo-nowikamove-trener-personalny-dietetyk,fitness,"Nowika.Move Trener Personalny, Dietetyk",Wrocław,+48 664 977 314,Dąbrowskiego 36/3U,"Nowika.Move Trener Personalny, Dietetyk, Wrocław",5,25,Trener osobisty,https://m.facebook.com/nowikadietatrening,https://www.google.com/maps/search/?api=1&query=Nowika.Move%20Trener%20Personalny%2C%20Dietetyk&query_place_id=ChIJ2TT2aGLDD0cR8c-2UgypqnU,https://m.facebook.com/nowikadietatrening,,
demo-dr-belter-firmowy-gabinet-kosmetyczny,https://dfcms.pl/?site=demo-dr-belter-firmowy-gabinet-kosmetyczny,beauty,Dr. Belter. Firmowy gabinet kosmetyczny,Wrocław,+48 508 240 554,Bolesława Drobnera 32,"Dr. Belter. Firmowy gabinet kosmetyczny, Wrocław",5,23,Salon kosmetyczny,https://m.facebook.com/GabinetKosmetycznyDrBelterWroclaw/,https://www.google.com/maps/search/?api=1&query=Dr.%20Belter.%20Firmowy%20gabinet%20kosmetyczny&query_place_id=ChIJocQaXtzpD0cRUWlHYU0-Q_A,https://m.facebook.com/GabinetKosmetycznyDrBelterWroclaw/,,
demo-hydraulik-impact-jakub-bauer-wroclaw-co,https://dfcms.pl/?site=demo-hydraulik-impact-jakub-bauer-wroclaw-co,services,"Hydraulik, Impact Jakub Bauer, Wrocław, CO, Gaz, Wod-Kan, Montaż Kotłów",Wrocław,+48 508 614 817,Wincentego Witosa,"Hydraulik, Impact Jakub Bauer, Wrocław, CO, Gaz, Wod-Kan, Montaż Kotłów, Wrocław",5,23,"Hydraulik | Montaż instalacji gazowych | Usługi ciepłownicze | Wykonawca instalacji grzewczych, klimatyzacyjnych i wentylacyjnych",https://www.facebook.com/share/14eN2qhrViC/,https://www.google.com/maps/search/?api=1&query=Hydraulik%2C%20Impact%20Jakub%20Bauer%2C%20Wroc%C5%82aw%2C%20CO%2C%20Gaz%2C%20Wod-Kan%2C%20Monta%C5%BC%20Kot%C5%82%C3%B3w&query_place_id=ChIJUbQJrWSvlUcRD8h5A2SSzbE,https://www.facebook.com/share/14eN2qhrViC/,,
demo-michal-skold-trener-personalny-wroclaw-s,https://dfcms.pl/?site=demo-michal-skold-trener-personalny-wroclaw-s,fitness,Michał Skołd - Trener Personalny Wrocław Śródmieście,Wrocław,+48 730 995 561,Wrocław,"Michał Skołd - Trener Personalny Wrocław Śródmieście, Wrocław",5,23,Trener osobisty | Service establishment,https://www.instagram.com/michal.skold/,https://www.google.com/maps/search/?api=1&query=Micha%C5%82%20Sko%C5%82d%20-%20Trener%20Personalny%20Wroc%C5%82aw%20%C5%9Ar%C3%B3dmie%C5%9Bcie&query_place_id=ChIJwRioZ7bHqE4RQpffn9wYO5I,,https://www.instagram.com/michal.skold/,
demo-aw-remonty-kompleksowe-remonty-i-wykoncz,https://dfcms.pl/?site=demo-aw-remonty-kompleksowe-remonty-i-wykoncz,services,AW REMONTY Kompleksowe remonty i wykończenia wnętrz,Wrocław,+48 517 227 716,Barycka 4,"AW REMONTY Kompleksowe remonty i wykończenia wnętrz, Wrocław",5,21,Usługi remontowo-budowlane,https://www.facebook.com/AWREMONTY,https://www.google.com/maps/search/?api=1&query=AW%20REMONTY%20Kompleksowe%20remonty%20i%20wyko%C5%84czenia%20wn%C4%99trz&query_place_id=ChIJc5ZEY2AnD0cRj76wf8DcOHQ,https://www.facebook.com/AWREMONTY,,
